deal_id,product_type,balance_side,currency,principal,annual_rate,ftp_rate,business_block,start_date,maturity_date,payment_frequency
RL-MTG-001,fixed_rate_loan,asset,KZT,18500000,0.185,0.135,KRB,2025-09-15,2030-09-15,monthly
RL-CAR-002,fixed_rate_loan,asset,KZT,6200000,0.205,0.142,KRB,2026-01-20,2028-01-20,monthly
RL-CASH-003,fixed_rate_loan,asset,KZT,1750000,0.275,0.155,KRB,2026-03-01,2027-03-01,monthly
SME-WC-004,fixed_rate_loan,asset,KZT,45000000,0.195,0.145,KSB,2026-02-01,2027-02-01,quarterly
CORP-INV-005,fixed_rate_loan,asset,USD,1500000,0.0825,0.055,KSB,2026-01-15,2029-01-15,quarterly
CORP-TRD-006,fixed_rate_loan,asset,EUR,850000,0.071,0.046,KSB,2026-04-01,2026-10-01,at_maturity
DEP-RET-001,fixed_rate_deposit,liability,KZT,3200000,0.145,0.125,TRB,2026-01-10,2026-07-10,at_maturity
DEP-RET-002,fixed_rate_deposit,liability,KZT,9800000,0.1525,0.13,TRB,2026-02-05,2027-02-05,monthly
DEP-VIP-003,fixed_rate_deposit,liability,USD,420000,0.041,0.052,TRB,2026-01-25,2027-01-25,quarterly
DEP-SME-004,fixed_rate_deposit,liability,KZT,28000000,0.135,0.12,KSB,2026-03-15,2026-09-15,at_maturity
DEP-CORP-005,fixed_rate_deposit,liability,USD,2200000,0.039,0.049,KSB,2026-02-01,2026-08-01,monthly
DEP-CORP-006,fixed_rate_deposit,liability,EUR,750000,0.028,0.038,KSB,2026-04-10,2026-10-10,quarterly
